     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               G23,  1,  0.720,  0.104,  0.032 
                               G25,  1,  5.920, -0.192, -0.040 
                               G26,  1,  6.160, -0.352,  0.016 
                               G29,  1,  2.280, -0.312,  0.000 
                               G31,  1,  4.760, -0.392, -0.024 
309749840,  32, 21,  1,  1,  0.000,  1, -0.172, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.280, -0.080, -0.032 
                               G05,  1,  2.680, -0.496,  0.064 
                               G12,  1,  9.880, -0.096, -0.064 
                               G21,  1,  7.320, -0.072, -0.120 
                               G23,  1, -0.720,  0.064,  0.032 
                               G25,  1,  3.520, -0.296,  0.032 
                               G26,  1,  4.600, -0.144, -0.016 
                               G29,  1,  0.240, -0.208, -0.008 
                               G31,  1,  1.920, -0.336,  0.016 
309749840,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.160, -0.112,  0.088 
                               G05,  1,  3.200, -0.528,  0.088 
                               G09,  1,  5.920,  0.152, -0.056 
                               G12,  1,  9.720, -0.144,  0.016 
                               G21,  1,  7.160,  0.064,  0.056 
                               G23,  1, -0.160,  0.048,  0.144 
                               G25,  1,  4.080, -0.352,  0.120 
                               G26,  1,  4.800, -0.144,  0.080 
                               G29,  1,  0.600, -0.240,  0.088 
                               G31,  1,  2.400, -0.424,  0.096 
309749840,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.240, -0.040 
                               G05,  1,  3.520, -0.744, -0.016 
                               G09,  1,  6.040,  0.112,  0.024 
                               G12,  1,  9.320, -0.432, -0.096 
                               G21,  1,  8.560,  0.192,  0.168 
                               G23,  1,  0.640, -0.200, -0.032 
                               G25,  1,  4.520, -0.616, -0.032 
                               G26,  1,  5.160, -0.224, -0.008 
                               G29,  1,  1.000, -0.456, -0.008 
                               G31,  1,  2.880, -0.720, -0.008 
309749840,  35, 56,  1,  1,  0.000,  1, -0.200,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.520,  0.008, -0.032 
                               G05,  1,  1.120, -0.304,  0.016 
                               G09,  1,  6.960,  0.208, -0.088 
                               G12,  1,  9.440, -0.072, -0.056 
                               G21,  1,  6.720, -0.104, -0.120 
                               G23,  1, -0.440,  0.080,  0.032 
                               G25,  1,  2.520, -0.248,  0.016 
                               G26,  1,  4.240,  0.016, -0.008 
                               G29,  1, -0.360, -0.088, -0.008 
                               G31,  1,  0.800, -0.216,  0.000 
309749840,  36, 48,  1,  1,  0.000,  1, -0.196,  0.006,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.560, -0.104,  0.008 
                               G05,  1,  1.400, -0.352,  0.024 
                               G09,  1,  6.480,  0.192, -0.032 
                               G12,  1,  8.920, -0.144, -0.048 
                               G23,  1, -0.080, -0.048,  0.048 
                               G25,  1,  2.760, -0.320,  0.024 
                               G26,  1,  4.400, -0.056,  0.032 
                               G29,  1, -0.200, -0.144,  0.024 
                               G31,  1,  1.000, -0.232,  0.024 
309749840,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.480, -0.184, -0.024 
                               G05,  1,  1.600, -0.456, -0.048 
                               G09,  1,  6.520,  0.160,  0.024 
                               G12,  1,  7.960, -0.368, -0.144 
                               G21,  1,  9.000,  0.128,  0.064 
                               G23,  1,  0.200, -0.128, -0.008 
                               G25,  1,  2.920, -0.416, -0.024 
                               G26,  1,  4.680, -0.128,  0.000 
                               G29,  1,  0.000, -0.208, -0.016 
                               G31,  1,  1.320, -0.312, -0.024 
309749840,  38, 49,  1,  1,  0.000,  1, -0.192, -0.003, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.560,  0.072, -0.024 
                               G05,  1,  0.880,  0.008,  0.008 
                               G09,  1,  7.360,  0.272, -0.032 
                               G23,  1,  0.480,  0.360, -0.024 
                               G25,  1,  2.160, -0.064,  0.000 
                               G26,  1,  4.760,  0.312, -0.016 
                               G29,  1, -0.320,  0.072,  0.008 
                               G31,  1,  0.800,  0.104,  0.016 
309749840,  39, 28,  1,  1,  0.000,  1, -0.204, -0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.680,  0.024,  0.000 
                               G05,  1,  0.880,  0.008, -0.008 
                               G09,  1,  7.240,  0.376,  0.000 
                               G23,  1,  0.520,  0.352,  0.024 
                               G25,  1,  2.240, -0.056,  0.016 
                               G26,  1,  4.760,  0.216,  0.016 
                               G29,  1, -0.240,  0.048,  0.008 
                               G31,  1,  0.920,  0.080,  0.016 
309749840,  40, 24,  1,  1,  0.000,  1, -0.204, -0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.520,  0.056, -0.024 
                               G05,  1,  0.840, -0.032, -0.008 
                               G09,  1,  8.120,  0.344, -0.008 
                               G23,  1,  1.520,  0.440, -0.024 
                               G25,  1,  2.000, -0.096,  0.008 
                               G26,  1,  5.560,  0.360, -0.016 
                               G29,  1, -0.120,  0.032,  0.000 
                               G31,  1,  1.080,  0.072,  0.008 
309760622,   5, 20,  1,  1,  0.012,  1, -0.140, -0.003,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.680, -0.096, -0.056 
                               R12,  1,  4.920, -0.304, -0.008 
                               R21,  1,  4.360, -0.264, -0.024 
                               R22,  1,  6.760, -0.040, -0.040 
309760622,  15, 35,  1,  1,  0.012,  1, -0.116,  0.011, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.440, -0.176, -0.024 
                               R12,  1,  4.040, -0.328, -0.024 
                               R20,  1,  3.280, -0.376,  0.088 
                               R21,  1,  3.600, -0.296, -0.032 
                               R22,  1,  6.600, -0.136, -0.016 
309760622,  16, 24,  1,  1,  0.012,  1, -0.132,  0.008, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.080, -0.120, -0.032 
                               R12,  1,  3.840, -0.304,  0.000 
                               R20,  1,  3.840, -0.472,  0.096 
                               R21,  1,  3.360, -0.288, -0.016 
                               R22,  1,  6.360, -0.088, -0.024 
