     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.320, -0.528,  0.080 
                               G05,  1,  6.520, -0.208, -0.088 
                               G12,  1, 10.080,  0.032, -0.048 
                               G21,  1,  7.040,  0.056, -0.032 
                               G25,  1,  6.120, -0.096, -0.064 
                               G26,  1,  7.920, -0.376,  0.032 
                               G29,  1,  3.120, -0.232,  0.016 
                               G31,  1,  5.360, -0.176,  0.000 
     5925,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.520, -0.400,  0.024 
                               G05,  1,  6.160, -0.328, -0.032 
                               G21,  1,  7.600,  0.072, -0.064 
                               G23,  1, -2.120,  0.256,  0.064 
                               G25,  1,  6.080, -0.160, -0.056 
                               G26,  1,  6.680, -0.320, -0.008 
                               G29,  1,  2.360, -0.232, -0.016 
                               G31,  1,  4.760, -0.224,  0.000 
     5925,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.960, -0.392,  0.136 
                               G05,  1,  5.880, -0.224, -0.016 
                               G12,  1, 10.400,  0.200, -0.048 
                               G21,  1,  7.200,  0.032, -0.008 
                               G23,  1, -2.200,  0.360, -0.032 
                               G25,  1,  5.800, -0.112,  0.008 
                               G26,  1,  6.880, -0.312,  0.088 
                               G29,  1,  2.480, -0.200,  0.080 
                               G31,  1,  4.840, -0.200,  0.056 
     5925,  23, 32,  1,  1,  0.008,  1, -0.112,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.960, -0.240,  0.072 
                               G05,  1,  5.800,  0.064, -0.032 
                               G12,  1, 10.120,  0.184, -0.008 
                               G21,  1,  7.160,  0.120, -0.016 
                               G25,  1,  6.040,  0.096,  0.032 
                               G26,  1,  7.680, -0.104,  0.064 
                               G29,  1,  3.080, -0.008,  0.040 
                               G31,  1,  5.440,  0.032,  0.064 
     5925,  26, 49,  1,  1,  0.004,  1, -0.048,  0.014, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.440, -0.304,  0.008 
                               G05,  1,  4.960, -0.424,  0.000 
                               G21,  1,  7.480, -0.032, -0.064 
                               G23,  1, -1.440,  0.136,  0.048 
                               G25,  1,  5.360, -0.232, -0.032 
                               G26,  1,  5.720, -0.296, -0.016 
                               G29,  1,  1.600, -0.232, -0.008 
                               G31,  1,  3.960, -0.280,  0.008 
     5925,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.080, -0.480,  0.208 
                               G05,  1,  5.280, -0.384,  0.112 
                               G12,  1, 10.640,  0.112,  0.048 
                               G21,  1,  7.240, -0.080,  0.040 
                               G23,  1, -1.080,  0.104,  0.128 
                               G25,  1,  5.560, -0.240,  0.120 
                               G26,  1,  6.240, -0.376,  0.192 
                               G29,  1,  2.080, -0.312,  0.176 
                               G31,  1,  4.480, -0.304,  0.176 
     5925,  28, 48,  1,  1,  0.004,  1, -0.104,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.120, -0.376,  0.024 
                               G05,  1,  5.760, -0.040, -0.072 
                               G12,  1, 10.600,  0.112, -0.048 
                               G21,  1,  7.600,  0.144, -0.008 
                               G23,  1,  0.280,  0.080,  0.032 
                               G25,  1,  6.320,  0.048,  0.000 
                               G26,  1,  7.120, -0.272,  0.000 
                               G29,  1,  3.000, -0.080,  0.000 
                               G31,  1,  5.600,  0.000,  0.048 
     5925,  30, 30,  1,  1,  0.004,  1, -0.092, -0.009, -0.005 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.320, -0.360,  0.152 
                               G05,  1,  4.320, -0.504,  0.144 
                               G12,  1, 10.240, -0.144,  0.096 
                               G16,  1,  0.160,  0.088, -0.008 
                               G21,  1,  7.160, -0.128,  0.072 
                               G23,  1, -0.520,  0.000,  0.144 
                               G25,  1,  5.120, -0.320,  0.160 
                               G26,  1,  5.480, -0.416,  0.144 
                               G29,  1,  1.520, -0.360,  0.168 
                               G31,  1,  3.840, -0.416,  0.208 
     5925,  31, 16,  1,  1,  0.004,  1, -0.136, -0.012, -0.006 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.120, -0.288,  0.040 
                               G05,  1,  5.000, -0.312, -0.056 
                               G12,  1, 10.440, -0.080, -0.144 
                               G21,  1,  8.080,  0.144,  0.024 
                               G23,  1,  0.640,  0.104,  0.024 
                               G25,  1,  6.040, -0.184, -0.040 
                               G26,  1,  6.120, -0.360,  0.024 
                               G29,  1,  2.360, -0.304,  0.008 
                               G31,  1,  4.920, -0.384, -0.032 
     5925,  32, 21,  1,  1,  0.000,  1, -0.172, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.520, -0.072, -0.024 
                               G05,  1,  2.080, -0.480,  0.040 
                               G12,  1, 10.160, -0.040, -0.064 
                               G16,  1,  0.400, -0.032,  0.000 
                               G21,  1,  7.280, -0.072, -0.112 
                               G23,  1, -0.720,  0.080,  0.024 
                               G25,  1,  3.640, -0.304,  0.016 
                               G26,  1,  4.320, -0.168, -0.016 
                               G29,  1,  0.160, -0.216,  0.000 
                               G31,  1,  1.960, -0.352,  0.016 
     5925,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.320, -0.072,  0.072 
                               G05,  1,  2.640, -0.480,  0.096 
                               G09,  1,  6.200,  0.056, -0.016 
                               G12,  1,  9.920, -0.112,  0.000 
                               G16,  1,  0.360,  0.008,  0.000 
                               G21,  1,  7.200,  0.072,  0.072 
                               G23,  1, -0.240,  0.072,  0.104 
                               G25,  1,  4.000, -0.312,  0.088 
                               G26,  1,  4.520, -0.152,  0.072 
                               G29,  1,  0.480, -0.232,  0.072 
                               G31,  1,  2.360, -0.400,  0.088 
     5925,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.264,  0.008 
                               G05,  1,  3.120, -0.760,  0.032 
                               G09,  1,  6.320,  0.048,  0.000 
                               G12,  1,  9.320, -0.440, -0.128 
                               G21,  1,  8.680,  0.216,  0.168 
                               G23,  1,  0.520, -0.192,  0.024 
                               G25,  1,  4.560, -0.616,  0.024 
                               G26,  1,  5.040, -0.256,  0.032 
                               G29,  1,  1.000, -0.464,  0.040 
                               G31,  1,  2.960, -0.728,  0.048 
     5925,  35, 56,  1,  1,  0.000,  1, -0.200,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.600,  0.040, -0.016 
                               G05,  1,  0.640, -0.336,  0.048 
                               G09,  1,  6.720,  0.232, -0.048 
                               G12,  1,  9.800, -0.080, -0.064 
                               G16,  1,  0.000, -0.128,  0.008 
                               G21,  1,  6.760, -0.088, -0.112 
                               G23,  1, -0.440,  0.064,  0.032 
                               G25,  1,  2.640, -0.264,  0.016 
                               G26,  1,  4.000, -0.008,  0.000 
                               G29,  1, -0.440, -0.120,  0.000 
                               G31,  1,  0.800, -0.288,  0.016 
     5925,  36, 48,  1,  1,  0.000,  1, -0.196,  0.005,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.600, -0.032,  0.024 
                               G05,  1,  1.080, -0.312,  0.048 
                               G09,  1,  6.520,  0.208, -0.016 
                               G12,  1,  9.160, -0.152, -0.072 
                               G23,  1, -0.160,  0.008,  0.048 
                               G25,  1,  2.840, -0.288,  0.032 
                               G26,  1,  4.200, -0.016,  0.040 
                               G29,  1, -0.240, -0.120,  0.040 
                               G31,  1,  1.080, -0.248,  0.032 
     5925,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.440, -0.152, -0.040 
                               G05,  1,  1.320, -0.408, -0.056 
                               G09,  1,  6.600,  0.152,  0.000 
                               G12,  1,  7.880, -0.376, -0.200 
                               G21,  1,  9.280,  0.192,  0.056 
                               G23,  1,  0.120, -0.096, -0.024 
                               G25,  1,  3.000, -0.392, -0.040 
                               G26,  1,  4.560, -0.112, -0.016 
                               G29,  1,  0.080, -0.184, -0.024 
                               G31,  1,  1.440, -0.312, -0.032 
     5925,  38, 49,  1,  1,  0.000,  1, -0.192, -0.004, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.480,  0.072, -0.016 
                               G05,  1,  0.640,  0.040,  0.016 
                               G09,  1,  7.360,  0.272,  0.000 
                               G23,  1,  0.520,  0.376, -0.008 
                               G25,  1,  2.280, -0.056,  0.008 
                               G26,  1,  4.720,  0.352,  0.000 
                               G29,  1, -0.280,  0.088,  0.024 
                               G31,  1,  0.880,  0.104,  0.024 
     5925,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.560,  0.032, -0.008 
                               G05,  1,  0.720,  0.008, -0.008 
                               G09,  1,  7.360,  0.368, -0.016 
                               G23,  1,  0.600,  0.384,  0.016 
                               G25,  1,  2.360, -0.040,  0.008 
                               G26,  1,  4.760,  0.232,  0.008 
                               G29,  1, -0.120,  0.056,  0.008 
                               G31,  1,  1.040,  0.080,  0.008 
     5925,  40, 24,  1,  1,  0.000,  1, -0.208, -0.006, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.360,  0.064, -0.024 
                               G05,  1,  0.720, -0.032, -0.008 
                               G09,  1,  8.200,  0.312,  0.008 
                               G23,  1,  1.520,  0.416, -0.024 
                               G25,  1,  2.160, -0.088,  0.008 
                               G26,  1,  5.640,  0.392, -0.016 
                               G29,  1,  0.000,  0.040,  0.008 
                               G31,  1,  1.200,  0.080,  0.008 
    16707,   5, 20,  1,  1,  0.012,  1, -0.140, -0.003,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.640, -0.096, -0.056 
                               R12,  1,  4.840, -0.296,  0.000 
                               R21,  1,  4.280, -0.264, -0.024 
                               R22,  1,  6.680, -0.040, -0.024 
    16707,  15, 35,  1,  1,  0.012,  1, -0.120,  0.012, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.440, -0.168, -0.024 
                               R12,  1,  4.000, -0.328, -0.024 
                               R20,  1,  2.960, -0.360,  0.096 
                               R21,  1,  3.520, -0.288, -0.040 
                               R22,  1,  6.480, -0.120, -0.016 
    16707,  16, 24,  1,  1,  0.012,  1, -0.132,  0.008,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.080, -0.112, -0.032 
                               R12,  1,  3.800, -0.296,  0.000 
                               R20,  1,  3.640, -0.464,  0.112 
                               R21,  1,  3.280, -0.280, -0.016 
                               R22,  1,  6.280, -0.120, -0.032 
    16707,  17, 32,  1,  1,  0.008,  1, -0.128,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.760, -0.128, -0.056 
                               R12,  1,  3.840, -0.328,  0.016 
                               R20,  1,  4.480, -0.568,  0.096 
                               R21,  1,  3.240, -0.280,  0.008 
                               R22,  1,  6.120, -0.104, -0.024 
    16707,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.640, -0.168, -0.032 
                               R12,  1,  2.840, -0.288, -0.008 
                               R20,  1,  2.280, -0.416,  0.080 
                               R21,  1,  2.400, -0.264, -0.016 
                               R22,  1,  5.880, -0.144, -0.008 
    16707,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.360, -0.120, -0.008 
                               R12,  1,  2.920, -0.272,  0.056 
                               R20,  1,  2.920, -0.464,  0.120 
                               R21,  1,  2.440, -0.240,  0.048 
                               R22,  1,  5.800, -0.136, -0.008 
    16707,  23, 32,  1,  1,  0.008,  1, -0.112,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  4.320, -0.608,  0.088 
                               R11,  1,  5.560,  0.064,  0.040 
                               R12,  1,  3.520, -0.104,  0.048 
                               R20,  1,  3.840, -0.368,  0.072 
                               R21,  1,  2.920, -0.080,  0.040 
                               R22,  1,  5.880, -0.024,  0.016 
    16707,  26, 49,  1,  1,  0.004,  1, -0.048,  0.014, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  4.960, -0.208, -0.032 
                               R12,  1,  2.000, -0.248, -0.008 
                               R20,  1,  1.320, -0.304,  0.016 
                               R21,  1,  1.560, -0.248, -0.008 
                               R22,  1,  5.240, -0.240,  0.008 
    16707,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  1.640, -0.656,  0.136 
                               R11,  1,  5.080, -0.200,  0.104 
                               R12,  1,  2.360, -0.304,  0.144 
                               R20,  1,  1.880, -0.464,  0.144 
                               R21,  1,  1.920, -0.288,  0.128 
                               R22,  1,  5.440, -0.192,  0.056 
    16707,  28, 48,  1,  1,  0.004,  1, -0.104,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.280, -0.136, -0.120 
                               R05,  1,  2.520, -0.632,  0.096 
                               R11,  1,  5.840,  0.072,  0.024 
                               R12,  1,  3.160, -0.168,  0.008 
                               R20,  1,  2.680, -0.432,  0.048 
                               R21,  1,  2.640, -0.128,  0.008 
                               R22,  1,  6.000,  0.064,  0.048 
    16707,  30, 30,  1,  1,  0.004,  1, -0.092, -0.009, -0.005 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.800, -0.392,  0.168 
                               R05,  1,  0.520, -0.496,  0.056 
                               R11,  1,  4.760, -0.264,  0.152 
                               R12,  1,  1.760, -0.328,  0.128 
                               R13,  1,  1.440,  0.184,  0.024 
                               R20,  1,  1.120, -0.296,  0.104 
                               R21,  1,  1.360, -0.320,  0.128 
                               R22,  1,  5.040, -0.232,  0.120 
    16707,  31, 16,  1,  1,  0.004,  1, -0.136, -0.012, -0.006 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.760, -0.096, -0.016 
                               R05,  1,  1.000, -0.456,  0.080 
                               R11,  1,  5.760, -0.128, -0.032 
                               R12,  1,  2.360, -0.328,  0.008 
                               R20,  1,  1.720, -0.240,  0.024 
                               R21,  1,  1.920, -0.312,  0.008 
                               R22,  1,  6.200, -0.024,  0.048 
    16707,  32, 21,  1,  1,  0.000,  1, -0.172, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  2.440,  0.128,  0.040 
                               R05,  1, -0.280,  0.088, -0.032 
                               R11,  1,  3.480, -0.248,  0.008 
                               R12,  1,  0.760, -0.136, -0.008 
                               R13,  1,  1.840,  0.104,  0.032 
                               R20,  1,  0.560, -0.016, -0.024 
                               R21,  1,  0.240, -0.176, -0.008 
                               R22,  1,  3.720, -0.288,  0.032 
    16707,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.160,  0.056,  0.128 
                               R05,  1, -0.320,  0.072,  0.016 
                               R11,  1,  3.800, -0.272,  0.072 
                               R12,  1,  0.920, -0.136,  0.048 
                               R13,  1,  2.040,  0.112,  0.032 
                               R20,  1,  0.680, -0.024,  0.056 
                               R21,  1,  0.440, -0.176,  0.048 
                               R22,  1,  4.240, -0.280,  0.104 
    16707,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.240, -0.184,  0.088 
                               R05,  1, -0.160, -0.184, -0.008 
                               R11,  1,  4.400, -0.640,  0.032 
                               R12,  1,  1.280, -0.264,  0.032 
                               R13,  1,  2.360,  0.096,  0.032 
                               R20,  1,  0.960, -0.184,  0.000 
                               R21,  1,  0.760, -0.344,  0.032 
                               R22,  1,  5.160, -0.616,  0.064 
    16707,  35, 56,  1,  1,  0.000,  1, -0.200,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.280,  0.272,  0.040 
                               R05,  1, -0.120,  0.040, -0.032 
                               R11,  1,  2.560, -0.240,  0.016 
                               R12,  1,  0.480, -0.016,  0.000 
                               R13,  1,  2.240,  0.096,  0.040 
                               R20,  1,  0.680,  0.080, -0.016 
                               R21,  1, -0.200, -0.072,  0.000 
                               R22,  1,  2.720, -0.264,  0.032 
    16707,  36, 48,  1,  1,  0.000,  1, -0.196,  0.005,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.760,  0.296,  0.064 
                               R05,  1, -0.280,  0.000, -0.008 
                               R11,  1,  2.720, -0.248,  0.024 
                               R12,  1,  0.600, -0.024,  0.024 
                               R13,  1,  2.560,  0.136,  0.032 
                               R20,  1,  0.640,  0.024,  0.016 
                               R21,  1, -0.040, -0.056,  0.032 
                               R22,  1,  3.120, -0.272,  0.064 
    16707,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.440,  0.176,  0.016 
                               R05,  1, -0.440, -0.032, -0.056 
                               R11,  1,  2.880, -0.360, -0.032 
                               R12,  1,  0.840, -0.080, -0.008 
                               R13,  1,  2.720,  0.120,  0.000 
                               R20,  1,  0.640, -0.080, -0.040 
                               R21,  1,  0.160, -0.088, -0.024 
                               R22,  1,  3.560, -0.432, -0.008 
    16707,  38, 49,  1,  1,  0.000,  1, -0.192, -0.004, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.560,  0.168,  0.104 
                               R05,  1, -0.200,  0.048, -0.016 
                               R11,  1,  2.200, -0.088,  0.016 
                               R12,  1,  0.840,  0.168,  0.008 
                               R13,  1,  3.520,  0.448,  0.016 
                               R20,  1,  0.880,  0.112, -0.024 
                               R21,  1,  0.040,  0.080,  0.032 
                               R22,  1,  2.640,  0.016,  0.032 
    16707,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.440,  0.360,  0.080 
                               R05,  1, -0.360,  0.048, -0.024 
                               R11,  1,  2.280, -0.064,  0.008 
                               R12,  1,  0.880,  0.104,  0.000 
                               R13,  1,  3.520,  0.416, -0.016 
                               R20,  1,  0.680,  0.048, -0.016 
                               R21,  1,  0.160,  0.072,  0.000 
                               R22,  1,  2.960,  0.008,  0.032 
    16707,  40, 24,  1,  1,  0.000,  1, -0.208, -0.006, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.880, -0.360,  0.104 
                               R05,  1, -0.160,  0.056, -0.024 
                               R11,  1,  2.080, -0.056,  0.016 
                               R12,  1,  1.240,  0.176, -0.008 
                               R13,  1,  4.520,  0.336, -0.032 
                               R20,  1,  1.080,  0.144, -0.032 
                               R21,  1,  0.320,  0.056,  0.008 
                               R22,  1,  2.840,  0.032,  0.024 
309749930,   5, 20,  1,  1,  0.012,  1, -0.140, -0.003,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.760, -0.384,  0.080 
                               G05,  1,  8.280, -0.280, -0.032 
                               G14,  1, 11.880,  0.376, -0.032 
                               G16,  1,  6.440, -0.488,  0.032 
                               G21,  1,  6.920,  0.256, -0.016 
                               G25,  1,  7.080, -0.024, -0.096 
                               G26,  1,  8.680, -0.304,  0.016 
                               G29,  1,  3.840, -0.176, -0.040 
                               G31,  1,  5.840, -0.088, -0.024 
309749930,  15, 35,  1,  1,  0.012,  1, -0.120,  0.012, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.520, -0.336,  0.040 
                               G05,  1,  7.440, -0.328, -0.008 
                               G21,  1,  7.760,  0.200, -0.056 
                               G25,  1,  7.080, -0.144, -0.072 
                               G26,  1,  7.880, -0.296, -0.024 
                               G29,  1,  3.400, -0.232, -0.040 
                               G31,  1,  5.520, -0.152, -0.008 
309749930,  16, 24,  1,  1,  0.012,  1, -0.132,  0.008,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.800, -0.424,  0.056 
                               G05,  1,  7.160, -0.296, -0.056 
                               G12,  1, 10.320,  0.120, -0.032 
                               G21,  1,  7.320,  0.128, -0.072 
                               G25,  1,  6.520, -0.112, -0.056 
                               G26,  1,  7.720, -0.320,  0.016 
                               G29,  1,  3.080, -0.200, -0.016 
                               G31,  1,  5.360, -0.152, -0.008 
309749930,  17, 32,  1,  1,  0.008,  1, -0.128,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.320, -0.528,  0.080 
                               G05,  1,  6.520, -0.208, -0.088 
                               G12,  1, 10.080,  0.032, -0.048 
                               G21,  1,  7.040,  0.056, -0.032 
                               G25,  1,  6.120, -0.096, -0.064 
                               G26,  1,  7.920, -0.376,  0.032 
                               G29,  1,  3.120, -0.232,  0.016 
                               G31,  1,  5.360, -0.176,  0.000 
309749930,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.520, -0.400,  0.024 
                               G05,  1,  6.160, -0.328, -0.032 
                               G21,  1,  7.600,  0.072, -0.064 
                               G23,  1, -2.120,  0.256,  0.064 
                               G25,  1,  6.080, -0.160, -0.056 
                               G26,  1,  6.680, -0.320, -0.008 
                               G29,  1,  2.360, -0.232, -0.016 
                               G31,  1,  4.760, -0.224,  0.000 
309749930,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.960, -0.392,  0.136 
                               G05,  1,  5.880, -0.224, -0.016 
                               G12,  1, 10.400,  0.200, -0.048 
                               G21,  1,  7.200,  0.032, -0.008 
                               G23,  1, -2.200,  0.360, -0.032 
                               G25,  1,  5.800, -0.112,  0.008 
                               G26,  1,  6.880, -0.312,  0.088 
                               G29,  1,  2.480, -0.200,  0.080 
                               G31,  1,  4.840, -0.200,  0.056 
309749930,  23, 32,  1,  1,  0.008,  1, -0.112,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.960, -0.240,  0.072 
                               G05,  1,  5.800,  0.064, -0.032 
                               G12,  1, 10.120,  0.184, -0.008 
                               G21,  1,  7.160,  0.120, -0.016 
                               G25,  1,  6.040,  0.096,  0.032 
                               G26,  1,  7.680, -0.104,  0.064 
                               G29,  1,  3.080, -0.008,  0.040 
                               G31,  1,  5.440,  0.032,  0.064 
309749930,  26, 49,  1,  1,  0.004,  1, -0.048,  0.014, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.440, -0.304,  0.008 
                               G05,  1,  4.960, -0.424,  0.000 
                               G21,  1,  7.480, -0.032, -0.064 
                               G23,  1, -1.440,  0.136,  0.048 
                               G25,  1,  5.360, -0.232, -0.032 
                               G26,  1,  5.720, -0.296, -0.016 
                               G29,  1,  1.600, -0.232, -0.008 
                               G31,  1,  3.960, -0.280,  0.008 
309749930,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.080, -0.480,  0.208 
                               G05,  1,  5.280, -0.384,  0.112 
                               G12,  1, 10.640,  0.112,  0.048 
                               G21,  1,  7.240, -0.080,  0.040 
                               G23,  1, -1.080,  0.104,  0.128 
                               G25,  1,  5.560, -0.240,  0.120 
                               G26,  1,  6.240, -0.376,  0.192 
                               G29,  1,  2.080, -0.312,  0.176 
                               G31,  1,  4.480, -0.304,  0.176 
309749930,  28, 48,  1,  1,  0.004,  1, -0.104,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.120, -0.376,  0.024 
                               G05,  1,  5.760, -0.040, -0.072 
                               G12,  1, 10.600,  0.112, -0.048 
                               G21,  1,  7.600,  0.144, -0.008 
                               G23,  1,  0.280,  0.080,  0.032 
                               G25,  1,  6.320,  0.048,  0.000 
                               G26,  1,  7.120, -0.272,  0.000 
                               G29,  1,  3.000, -0.080,  0.000 
                               G31,  1,  5.600,  0.000,  0.048 
309749930,  30, 30,  1,  1,  0.004,  1, -0.092, -0.009, -0.005 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.320, -0.360,  0.152 
                               G05,  1,  4.320, -0.504,  0.144 
                               G12,  1, 10.240, -0.144,  0.096 
                               G16,  1,  0.160,  0.088, -0.008 
                               G21,  1,  7.160, -0.128,  0.072 
                               G23,  1, -0.520,  0.000,  0.144 
                               G25,  1,  5.120, -0.320,  0.160 
                               G26,  1,  5.480, -0.416,  0.144 
                               G29,  1,  1.520, -0.360,  0.168 
                               G31,  1,  3.840, -0.416,  0.208 
309749930,  31, 16,  1,  1,  0.004,  1, -0.136, -0.012, -0.006 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.120, -0.288,  0.040 
                               G05,  1,  5.000, -0.312, -0.056 
                               G12,  1, 10.440, -0.080, -0.144 
                               G21,  1,  8.080,  0.144,  0.024 
                               G23,  1,  0.640,  0.104,  0.024 
                               G25,  1,  6.040, -0.184, -0.040 
                               G26,  1,  6.120, -0.360,  0.024 
                               G29,  1,  2.360, -0.304,  0.008 
                               G31,  1,  4.920, -0.384, -0.032 
309749930,  32, 21,  1,  1,  0.000,  1, -0.172, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.520, -0.072, -0.024 
                               G05,  1,  2.080, -0.480,  0.040 
                               G12,  1, 10.160, -0.040, -0.064 
                               G16,  1,  0.400, -0.032,  0.000 
                               G21,  1,  7.280, -0.072, -0.112 
                               G23,  1, -0.720,  0.080,  0.024 
                               G25,  1,  3.640, -0.304,  0.016 
                               G26,  1,  4.320, -0.168, -0.016 
                               G29,  1,  0.160, -0.216,  0.000 
                               G31,  1,  1.960, -0.352,  0.016 
309749930,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.320, -0.072,  0.072 
                               G05,  1,  2.640, -0.480,  0.096 
                               G09,  1,  6.200,  0.056, -0.016 
                               G12,  1,  9.920, -0.112,  0.000 
                               G16,  1,  0.360,  0.008,  0.000 
                               G21,  1,  7.200,  0.072,  0.072 
                               G23,  1, -0.240,  0.072,  0.104 
                               G25,  1,  4.000, -0.312,  0.088 
                               G26,  1,  4.520, -0.152,  0.072 
                               G29,  1,  0.480, -0.232,  0.072 
                               G31,  1,  2.360, -0.400,  0.088 
309749930,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.264,  0.008 
                               G05,  1,  3.120, -0.760,  0.032 
                               G09,  1,  6.320,  0.048,  0.000 
                               G12,  1,  9.320, -0.440, -0.128 
                               G21,  1,  8.680,  0.216,  0.168 
                               G23,  1,  0.520, -0.192,  0.024 
                               G25,  1,  4.560, -0.616,  0.024 
                               G26,  1,  5.040, -0.256,  0.032 
                               G29,  1,  1.000, -0.464,  0.040 
                               G31,  1,  2.960, -0.728,  0.048 
309749930,  35, 56,  1,  1,  0.000,  1, -0.200,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.600,  0.040, -0.016 
                               G05,  1,  0.640, -0.336,  0.048 
                               G09,  1,  6.720,  0.232, -0.048 
                               G12,  1,  9.800, -0.080, -0.064 
                               G16,  1,  0.000, -0.128,  0.008 
